COUNCIL,DEPARTMENT,SERVICE,SECTION,TEAM,REASON,FTE_DAYS_LOST,PERIOD_FTE,ABSENCE RATE,HEADCOUNT
West Dunbartonshire Council,Chief Exec Office,People & Technology,Business Support,HR Service Centre,NONE,0,12,0,12
West Dunbartonshire Council,Chief Exec Office,People & Technology,Business Support,Pay & Remuneration,AR12,1.72,0.5,3.44,1
West Dunbartonshire Council,Chief Exec Office,People & Technology,Business Support,Pay & Remuneration,NONE,0,5.64,0,6
West Dunbartonshire Council,Chief Exec Office,People & Technology,Health & Safety,Health & Safety,AR9,30,1,30,1
West Dunbartonshire Council,Chief Exec Office,People & Technology,Health & Safety,Health & Safety,NONE,0,4.41,0,5
West Dunbartonshire Council,Chief Exec Office,People & Technology,ICT,IT Business Applic Mgt,NONE,0,10.31,0,13
West Dunbartonshire Council,Chief Exec Office,People & Technology,ICT,IT Device Management,AR1,1,1,1,1
West Dunbartonshire Council,Chief Exec Office,People & Technology,ICT,IT Device Management,AR10,10,1,10,1
West Dunbartonshire Council,Chief Exec Office,People & Technology,ICT,IT Device Management,NONE,0,16.19,0,17
West Dunbartonshire Council,Chief Exec Office,People & Technology,ICT,IT Infrastructure Mgt,AR4,2,1,2,1
West Dunbartonshire Council,Chief Exec Office,People & Technology,ICT,IT Infrastructure Mgt,NONE,0,20.91,0,23
West Dunbartonshire Council,Chief Exec Office,People & Technology,ICT,IT Management,NONE,0,3,0,3
West Dunbartonshire Council,Chief Exec Office,People & Technology,People & Change,Organisational Dev,NONE,0,10.37,0,11
West Dunbartonshire Council,Chief Exec Office,People & Technology,People & Change,Strategic HR,NONE,0,14.89,0,16
West Dunbartonshire Council,Chief Exec Office,Regulatory,Democratic Services,Democratic Services,NONE,0,9.62,0,11
West Dunbartonshire Council,Chief Exec Office,Regulatory,Democratic Services,Leadership Support Team,NONE,0,7,0,7
West Dunbartonshire Council,Chief Exec Office,Regulatory,Democratic Services,Registration,AR1,1,0.5,2,1
West Dunbartonshire Council,Chief Exec Office,Regulatory,Democratic Services,Registration,AR12,8.93,0.5,17.86,1
West Dunbartonshire Council,Chief Exec Office,Regulatory,Democratic Services,Registration,NONE,0,5.64,0,9
West Dunbartonshire Council,Chief Exec Office,Regulatory,Legal Services,Contracts & Property,NONE,0,7.26,0,8
West Dunbartonshire Council,Chief Exec Office,Regulatory,Legal Services,Licensing,AR9,10.71,1,10.71,1
West Dunbartonshire Council,Chief Exec Office,Regulatory,Legal Services,Licensing,NONE,0,5,0,5
West Dunbartonshire Council,Chief Exec Office,Regulatory,Legal Services,Litigation & Support,NONE,0,3.76,0,4
West Dunbartonshire Council,Chief Exec Office,Regulatory,Legal Services,Records Management,NONE,0,2,0,2
West Dunbartonshire Council,Chief Exec Office,Regulatory,Legal Services,Trading Standards,NONE,0,5.91,0,6
West Dunbartonshire Council,Chief Exec Office,Regulatory,Planning & Building Cont,Building Standards,AR12,5.71,1,5.71,1
West Dunbartonshire Council,Chief Exec Office,Regulatory,Planning & Building Cont,Building Standards,NONE,0,5.9,0,7
West Dunbartonshire Council,Chief Exec Office,Regulatory,Planning & Building Cont,Comm Health Protection,NONE,0,7.74,0,8
West Dunbartonshire Council,Chief Exec Office,Regulatory,Planning & Building Cont,Development Management,NONE,0,4.6,0,5
West Dunbartonshire Council,Chief Exec Office,Regulatory,Planning & Building Cont,Environmental Pollution,NONE,0,6,0,6
West Dunbartonshire Council,Chief Exec Office,Regulatory,Planning & Building Cont,Food & Business,NONE,0,4.94,0,6
West Dunbartonshire Council,Chief Exec Office,Regulatory,Planning & Building Cont,Forward Planning,NONE,0,5.37,0,6
West Dunbartonshire Council,Chief Exec Office,Regulatory,Planning & Building Cont,Technical Support Team,AR1,5,1,5,1
West Dunbartonshire Council,Chief Exec Office,Regulatory,Planning & Building Cont,Technical Support Team,AR4,43.57,1,43.57,1
West Dunbartonshire Council,Chief Exec Office,Regulatory,Planning & Building Cont,Technical Support Team,NONE,0,6.8,0,7
West Dunbartonshire Council,Chief Exec Office,Regulatory,Regulatory Management,LDRS Management,NONE,0,3,0,3
West Dunbartonshire Council,Chief Exec Office,Resources,Audit & Fraud,Audit & Fraud,NONE,0,7.41,0,9
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Admin Support Unit,AR1,4,1,4,1
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Admin Support Unit,AR10,4.43,0.89,5,1
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Admin Support Unit,AR2,0.86,0.86,1,1
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Admin Support Unit,AR4,28.4,1.5,18.93,2
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Admin Support Unit,AR9,5.71,1,5.71,1
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Admin Support Unit,NONE,0,25.54,0,31
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Automation,NONE,0,0.2,0,2
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Benefits,AR12,45.96,0.79,58.49,1
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Benefits,AR9,62.14,1,62.14,1
West Dunbartonshire Council,Chief Exec Office,Resources,Business Support,Benefits,NONE,0,17.21,0,21
